college,location,branch,fees,avg_cutoff



Poornima University,Jaipur,CSE,110000,70
Poornima University,Jaipur,AI,115000,68
JECRC Foundation,Jaipur,AI,120000,72
SKIT Jaipur,Jaipur,IT,95000,78
LNMIIT,Jaipur,CSE,350000,90
LNMIIT,Jaipur,ECE,330000,88

AKTU,Lucknow,CSE,90000,72
AKTU,Lucknow,AI,95000,70
HBTU,Kanpur,ECE,110000,86
GLA University,Mathura,CSE,180000,75
GLA University,Mathura,AI,190000,73

Amrita University,Bangalore,CSE,260000,88
Amrita University,Bangalore,AI,270000,85
Dayananda Sagar,Bangalore,CSE,200000,80
Dayananda Sagar,Bangalore,AI,210000,78
New Horizon College,Bangalore,CSE,180000,75

Reva University,Bangalore,CSE,190000,78
Reva University,Bangalore,AI,200000,76
CMR Institute,Bangalore,CSE,170000,74
CMR Institute,Bangalore,AI,180000,72

SR University,Warangal,CSE,150000,75
SR University,Warangal,AI,160000,72
Kakatiya University,Warangal,CSE,80000,70

Lovely Professional University,Jalandhar,IT,155000,63
Lovely Professional University,Jalandhar,ECE,150000,62

Chandigarh University,Mohali,ECE,140000,68
Chandigarh University,Mohali,IT,135000,67

Bennett University,Noida,ECE,290000,78
Bennett University,Noida,IT,280000,76

Galgotias College,Greater Noida,CSE,140000,68
Galgotias College,Greater Noida,ECE,130000,65

KIET Group,Ghaziabad,ECE,120000,74
KIET Group,Ghaziabad,IT,115000,73
ABES Engineering,Ghaziabad,CSE,130000,76
ABES Engineering,Ghaziabad,AI,140000,74

Thapar University,Patiala,ECE,240000,83
Thapar University,Patiala,IT,230000,81

Chitkara University,Patiala,ECE,190000,77
Chitkara University,Patiala,IT,185000,76

UPES,Dehradun,ECE,270000,75
UPES,Dehradun,IT,260000,74
DIT University,Dehradun,CSE,150000,70
DIT University,Dehradun,AI,160000,68

Graphic Era,Dehradun,AI,210000,78
Graphic Era,Dehradun,ECE,200000,76

Nirma University,Ahmedabad,AI,210000,83
Nirma University,Ahmedabad,ECE,190000,82

Pandit Deendayal Energy University,Gandhinagar,ECE,230000,85
Pandit Deendayal Energy University,Gandhinagar,AI,240000,87

LD College,Ahmedabad,CSE,60000,80
LD College,Ahmedabad,ECE,55000,78

SVNIT,Surat,CSE,150000,92
SVNIT,Surat,ECE,140000,89

Veermata Jijabai Technological Institute,Mumbai,CSE,90000,95
VJTI,Mumbai,ECE,85000,92

Sardar Patel Institute,Mumbai,CSE,150000,90
Sardar Patel Institute,Mumbai,ECE,140000,88

Fr Agnel,Mumbai,CSE,160000,87
Fr Agnel,Mumbai,ECE,150000,85

Walchand College,Sangli,CSE,80000,85
Walchand College,Sangli,ECE,75000,83

PCCOE,Pune,CSE,140000,80
PCCOE,Pune,AI,150000,78
Sinhgad College,Pune,CSE,120000,75
Sinhgad College,Pune,ECE,110000,73

DY Patil College,Pune,CSE,130000,76
DY Patil College,Pune,AI,140000,74

Amity University,Mumbai,CSE,250000,78
Amity University,Mumbai,AI,260000,76

NMIMS,Mumbai,ECE,290000,80
NMIMS,Mumbai,IT,280000,79

IIT Jammu,Jammu,CSE,250000,97
IIT Jammu,Jammu,ECE,240000,95

SMVDU,Jammu,IT,135000,77

NIT Hamirpur,Hamirpur,CSE,150000,92
NIT Hamirpur,Hamirpur,ECE,140000,89

Shoolini University,Solan,CSE,180000,75
Shoolini University,Solan,AI,190000,73

IIT Dharwad,Dharwad,CSE,250000,97
IIT Dharwad,Dharwad,ECE,240000,94

KLE Technological University,Hubli,CSE,180000,78
KLE Technological University,Hubli,AI,190000,76

NIT Karnataka,Surathkal,IT,145000,91

NIT Jalandhar,Jalandhar,ECE,140000,89
NIT Jalandhar,Jalandhar,IT,145000,90

Panjab University,Chandigarh,CSE,90000,85
Panjab University,Chandigarh,ECE,85000,83

Jamia Millia Islamia,Delhi,ECE,15000,90
Jamia Millia Islamia,Delhi,AI,20000,88

Delhi University,Delhi,ECE,60000,83
Delhi University,Delhi,IT,55000,82

Aligarh Muslim University,Aligarh,ECE,45000,85
Aligarh Muslim University,Aligarh,AI,50000,83

Banaras Hindu University,Varanasi,CSE,80000,92
Banaras Hindu University,Varanasi,AI,90000,90

NIT Srinagar,Srinagar,IT,140000,86
NIT Srinagar,Srinagar,AI,145000,84

Central University of Rajasthan,Ajmer,CSE,70000,70
Central University of Rajasthan,Ajmer,AI,75000,68

Central University of Punjab,Bathinda,CSE,70000,72
Central University of Punjab,Bathinda,AI,75000,70

Tezpur University,Tezpur,AI,85000,80
Tezpur University,Tezpur,ECE,80000,78

Assam University,Silchar,CSE,70000,75
Assam University,Silchar,AI,75000,72



IIT Bombay,Mumbai,CSE,250000,99
IIT Bombay,Mumbai,ECE,240000,98
IIT Delhi,Delhi,CSE,250000,99
IIT Delhi,Delhi,ECE,240000,98
IIT Kanpur,Kanpur,CSE,250000,99
IIT Kanpur,Kanpur,ECE,240000,97
IIT Madras,Chennai,CSE,250000,99
IIT Madras,Chennai,ECE,240000,97
IIT Kharagpur,Kharagpur,CSE,250000,99
IIT Kharagpur,Kharagpur,ECE,240000,97

NIT Trichy,Trichy,CSE,150000,96
NIT Trichy,Trichy,ECE,140000,93
NIT Surathkal,Surathkal,CSE,150000,95
NIT Surathkal,Surathkal,ECE,140000,92
NIT Warangal,Warangal,CSE,150000,94
NIT Warangal,Warangal,ECE,140000,91
NIT Calicut,Calicut,CSE,150000,94
NIT Calicut,Calicut,ECE,140000,91

IIIT Hyderabad,Hyderabad,CSE,350000,97
IIIT Hyderabad,Hyderabad,AI,350000,96
IIIT Bangalore,Bangalore,CSE,350000,95
IIIT Bangalore,Bangalore,AI,360000,94
IIIT Delhi,Delhi,CSE,300000,95
IIIT Delhi,Delhi,AI,310000,94

BITS Pilani,Pilani,CSE,400000,98
BITS Pilani,Pilani,ECE,380000,95
BITS Goa,Goa,CSE,380000,96
BITS Goa,Goa,ECE,360000,94
BITS Hyderabad,Hyderabad,CSE,380000,96
BITS Hyderabad,Hyderabad,ECE,360000,94

VIT Vellore,Vellore,CSE,300000,90
VIT Vellore,Vellore,ECE,250000,85
VIT Chennai,Chennai,CSE,280000,88
VIT Chennai,Chennai,AI,290000,86

SRM University,Chennai,CSE,250000,88
SRM University,Chennai,AI,270000,86
SRM Ramapuram,Chennai,CSE,220000,80
SRM Ramapuram,Chennai,AI,230000,78

Manipal University,Jaipur,CSE,220000,80
Manipal University,Jaipur,AI,250000,78
Manipal Institute of Technology,Manipal,CSE,300000,85
Manipal Institute of Technology,Manipal,AI,310000,83

Thapar University,Patiala,CSE,250000,85
Thapar University,Patiala,AI,260000,82
Chitkara University,Patiala,CSE,200000,80
Chitkara University,Patiala,AI,210000,78

Amity University,Noida,CSE,280000,75
Amity University,Noida,AI,290000,72
Jaypee Institute,Noida,CSE,220000,85
Jaypee Institute,Noida,ECE,200000,80

Galgotias University,Greater Noida,CSE,160000,70
Galgotias University,Greater Noida,AI,170000,68
Shiv Nadar University,Greater Noida,CSE,300000,88
Shiv Nadar University,Greater Noida,AI,310000,85

LPU,Jalandhar,CSE,150000,65
LPU,Jalandhar,AI,160000,60
Chandigarh University,Mohali,CSE,140000,70
Chandigarh University,Mohali,AI,145000,65

DTU,Delhi,CSE,200000,95
DTU,Delhi,ECE,180000,92
NSUT,Delhi,CSE,190000,94
NSUT,Delhi,ECE,170000,91

RVCE,Bangalore,CSE,250000,92
RVCE,Bangalore,AI,240000,90
BMSCE,Bangalore,CSE,220000,88
MSRIT,Bangalore,CSE,200000,85
PES University,Bangalore,CSE,280000,89

Anna University,Chennai,CSE,80000,85
Anna University,Chennai,ECE,75000,82
SSN College,Chennai,CSE,200000,88
SSN College,Chennai,AI,210000,85

COEP,Pune,CSE,90000,95
COEP,Pune,ECE,85000,92
VIT Pune,Pune,CSE,180000,88
MIT WPU,Pune,CSE,250000,80

ICT Mumbai,Mumbai,CSE,100000,92
SPIT Mumbai,Mumbai,CSE,150000,90
DJ Sanghvi,Mumbai,CSE,200000,89
KJ Somaiya,Mumbai,CSE,250000,85

Nirma University,Ahmedabad,CSE,200000,85
DAIICT,Gandhinagar,CSE,220000,90
PDEU,Gandhinagar,CSE,240000,88

Osmania University,Hyderabad,CSE,60000,85
JNTU Hyderabad,Hyderabad,CSE,70000,88
CBIT Hyderabad,Hyderabad,CSE,150000,82

Jadavpur University,Kolkata,CSE,10000,98
Jadavpur University,Kolkata,ECE,10000,95
Heritage Institute,Kolkata,CSE,130000,75
IEM,Kolkata,CSE,140000,78

KIIT,Bhubaneswar,CSE,250000,80
KIIT,Bhubaneswar,AI,260000,75
ITER,Bhubaneswar,CSE,180000,70
C V Raman,Bhubaneswar,CSE,150000,65

NIT Bhopal,Bhopal,CSE,150000,93
MANIT Bhopal,Bhopal,ECE,140000,90
RGPV,Bhopal,CSE,90000,75

IIT Guwahati,Guwahati,CSE,250000,99
Assam Engineering College,Guwahati,CSE,80000,80

NIT Patna,Patna,CSE,150000,92
BIT Patna,Patna,CSE,120000,75

IIT BHU,Varanasi,CSE,250000,99
BHU,Varanasi,ECE,80000,90

IIT Indore,Indore,CSE,250000,98
SGSITS,Indore,CSE,120000,85

NIT Raipur,Raipur,CSE,150000,90
NIT Durgapur,Durgapur,CSE,150000,92

Goa University,Goa,CSE,80000,75
NIT Goa,Goa,CSE,150000,90


IIT Bombay,Mumbai,CSE,250000,99
IIT Bombay,Mumbai,ECE,240000,98
IIT Bombay,Mumbai,AI,250000,98
IIT Delhi,Delhi,CSE,250000,99
IIT Delhi,Delhi,ECE,240000,98
IIT Delhi,Delhi,AI,250000,98
IIT Madras,Chennai,CSE,250000,99
IIT Madras,Chennai,ECE,240000,97
IIT Madras,Chennai,AI,250000,98
IIT Kanpur,Kanpur,CSE,250000,99
IIT Kanpur,Kanpur,ECE,240000,97
IIT Kanpur,Kanpur,AI,250000,98
IIT Kharagpur,Kharagpur,CSE,250000,99
IIT Kharagpur,Kharagpur,ECE,240000,97
IIT Kharagpur,Kharagpur,AI,250000,98

NIT Trichy,Trichy,CSE,150000,96
NIT Trichy,Trichy,ECE,140000,93
NIT Trichy,Trichy,AI,150000,94
NIT Surathkal,Surathkal,CSE,150000,95
NIT Surathkal,Surathkal,ECE,140000,92
NIT Surathkal,Surathkal,AI,150000,93
NIT Warangal,Warangal,CSE,150000,94
NIT Warangal,Warangal,ECE,140000,91
NIT Warangal,Warangal,AI,150000,92

IIIT Hyderabad,Hyderabad,CSE,350000,97
IIIT Hyderabad,Hyderabad,AI,350000,96
IIIT Bangalore,Bangalore,CSE,350000,95
IIIT Bangalore,Bangalore,AI,360000,94
IIIT Delhi,Delhi,CSE,300000,95
IIIT Delhi,Delhi,AI,310000,94

BITS Pilani,Pilani,CSE,400000,98
BITS Pilani,Pilani,ECE,380000,95
BITS Pilani,Pilani,AI,400000,97
BITS Goa,Goa,CSE,380000,96
BITS Goa,Goa,ECE,360000,94
BITS Hyderabad,Hyderabad,CSE,380000,96

VIT Vellore,Vellore,CSE,300000,90
VIT Vellore,Vellore,ECE,250000,85
VIT Vellore,Vellore,AI,310000,88
VIT Chennai,Chennai,CSE,280000,88
VIT Chennai,Chennai,AI,290000,86

SRM University,Chennai,CSE,250000,88
SRM University,Chennai,AI,270000,86
SRM University,Chennai,ECE,240000,84
SRM Ramapuram,Chennai,CSE,220000,80

Manipal Institute of Technology,Manipal,CSE,300000,85
Manipal Institute of Technology,Manipal,AI,310000,83
Manipal Institute of Technology,Manipal,ECE,290000,82

Thapar University,Patiala,CSE,250000,85
Thapar University,Patiala,AI,260000,82
Thapar University,Patiala,ECE,240000,83

Amity University,Noida,CSE,280000,75
Amity University,Noida,AI,290000,72
Amity University,Noida,ECE,270000,73

Jaypee Institute,Noida,CSE,220000,85
Jaypee Institute,Noida,ECE,200000,80
Jaypee Institute,Noida,AI,230000,82

Galgotias University,Greater Noida,CSE,160000,70
Galgotias University,Greater Noida,AI,170000,68
Galgotias University,Greater Noida,ECE,150000,66

Chandigarh University,Mohali,CSE,140000,70
Chandigarh University,Mohali,AI,145000,65
Chandigarh University,Mohali,ECE,135000,66

LPU,Jalandhar,CSE,150000,65
LPU,Jalandhar,AI,160000,60
LPU,Jalandhar,ECE,150000,62

DTU,Delhi,CSE,200000,95
DTU,Delhi,ECE,180000,92
NSUT,Delhi,CSE,190000,94
NSUT,Delhi,ECE,170000,91

RVCE,Bangalore,CSE,250000,92
RVCE,Bangalore,AI,240000,90
BMSCE,Bangalore,CSE,220000,88
MSRIT,Bangalore,CSE,200000,85
PES University,Bangalore,CSE,280000,89

COEP,Pune,CSE,90000,95
COEP,Pune,ECE,85000,92
VIT Pune,Pune,CSE,180000,88
MIT WPU,Pune,CSE,250000,80
PCCOE,Pune,CSE,140000,80

ICT Mumbai,Mumbai,CSE,100000,92
SPIT Mumbai,Mumbai,CSE,150000,90
DJ Sanghvi,Mumbai,CSE,200000,89
KJ Somaiya,Mumbai,CSE,250000,85

Nirma University,Ahmedabad,CSE,200000,85
DAIICT,Gandhinagar,CSE,220000,90
PDEU,Gandhinagar,CSE,240000,88

Osmania University,Hyderabad,CSE,60000,85
JNTU Hyderabad,Hyderabad,CSE,70000,88
CBIT Hyderabad,Hyderabad,CSE,150000,82

Jadavpur University,Kolkata,CSE,10000,98
Jadavpur University,Kolkata,ECE,10000,95
Heritage Institute,Kolkata,CSE,130000,75
IEM,Kolkata,CSE,140000,78

KIIT,Bhubaneswar,CSE,250000,80
KIIT,Bhubaneswar,AI,260000,75
ITER,Bhubaneswar,CSE,180000,70

NIT Bhopal,Bhopal,CSE,150000,93
MANIT Bhopal,Bhopal,ECE,140000,90
RGPV,Bhopal,CSE,90000,75

IIT Guwahati,Guwahati,CSE,250000,99
Assam Engineering College,Guwahati,CSE,80000,80

NIT Patna,Patna,CSE,150000,92
BIT Patna,Patna,CSE,120000,75

IIT BHU,Varanasi,CSE,250000,99
BHU,Varanasi,ECE,80000,90

IIT Indore,Indore,CSE,250000,98
SGSITS,Indore,CSE,120000,85

NIT Raipur,Raipur,CSE,150000,90
NIT Durgapur,Durgapur,CSE,150000,92

Goa University,Goa,CSE,80000,75
NIT Goa,Goa,CSE,150000,90





IIT Madras,Chennai,CSE,250000,99
IIT Madras,Chennai,ECE,240000,97
IIT Madras,Chennai,AI,250000,98
Anna University,Chennai,CSE,80000,85
Anna University,Chennai,ECE,75000,82
Anna University,Chennai,IT,80000,83
Anna University,Chennai,AI,85000,83
College of Engineering Guindy,Chennai,CSE,85000,95
College of Engineering Guindy,Chennai,ECE,80000,92
Madras Institute of Technology,Chennai,CSE,90000,94
Madras Institute of Technology,Chennai,ECE,85000,91
SSN College of Engineering,Chennai,CSE,200000,88
SSN College of Engineering,Chennai,ECE,180000,86
SSN College of Engineering,Chennai,AI,210000,85
SRM Institute of Science and Technology,Chennai,CSE,250000,88
SRM Institute of Science and Technology,Chennai,ECE,240000,84
SRM Institute of Science and Technology,Chennai,AI,270000,86
SRM Institute of Science and Technology,Chennai,IT,230000,83
VIT Chennai,Chennai,CSE,280000,88
VIT Chennai,Chennai,ECE,250000,85
VIT Chennai,Chennai,AI,290000,86
Sathyabama Institute of Science and Technology,Chennai,CSE,220000,85
Sathyabama Institute of Science and Technology,Chennai,ECE,210000,83
Sathyabama Institute of Science and Technology,Chennai,AI,230000,83
Saveetha Engineering College,Chennai,CSE,160000,80
Saveetha Engineering College,Chennai,ECE,150000,78
Saveetha Engineering College,Chennai,AI,170000,78
Sri Sairam Engineering College,Chennai,CSE,150000,82
Sri Sairam Engineering College,Chennai,ECE,140000,80
Rajalakshmi Engineering College,Chennai,CSE,160000,83
Rajalakshmi Engineering College,Chennai,ECE,150000,81
Rajalakshmi Engineering College,Chennai,AI,170000,81
Velammal Engineering College,Chennai,CSE,140000,78
Velammal Engineering College,Chennai,ECE,130000,75
Easwari Engineering College,Chennai,CSE,150000,79
Easwari Engineering College,Chennai,ECE,140000,77
Easwari Engineering College,Chennai,AI,160000,77
St Joseph's College of Engineering,Chennai,CSE,180000,85
St Joseph's College of Engineering,Chennai,ECE,170000,83
R.M.K Engineering College,Chennai,CSE,150000,82
R.M.K Engineering College,Chennai,ECE,140000,80
R.M.K Engineering College,Chennai,AI,160000,80
Sri Venkateswara College of Engineering,Chennai,CSE,160000,84
Sri Venkateswara College of Engineering,Chennai,ECE,150000,82
Loyola ICAM College of Engineering,Chennai,CSE,170000,83
Loyola ICAM College of Engineering,Chennai,AI,180000,81
Meenakshi College of Engineering,Chennai,CSE,140000,75
Meenakshi College of Engineering,Chennai,ECE,130000,73
B.S. Abdur Rahman Crescent Institute,Chennai,CSE,200000,85
B.S. Abdur Rahman Crescent Institute,Chennai,ECE,190000,83
B.S. Abdur Rahman Crescent Institute,Chennai,AI,210000,83
Hindustan Institute of Technology and Science,Chennai,CSE,210000,80
Hindustan Institute of Technology and Science,Chennai,ECE,200000,78
Hindustan Institute of Technology and Science,Chennai,AI,220000,78
Jeppiaar Engineering College,Chennai,CSE,130000,72
Jeppiaar Engineering College,Chennai,ECE,120000,70
Panimalar Engineering College,Chennai,CSE,140000,74
Panimalar Engineering College,Chennai,ECE,130000,72
Panimalar Engineering College,Chennai,AI,150000,72
Rajalakshmi Institute of Technology,Chennai,CSE,150000,78
Rajalakshmi Institute of Technology,Chennai,ECE,140000,76
Prince Shri Venkateshwara Padmavathy Engineering College,Chennai,CSE,140000,75
Prince Shri Venkateshwara Padmavathy Engineering College,Chennai,ECE,130000,73
KCG College of Technology,Chennai,CSE,150000,80
KCG College of Technology,Chennai,ECE,140000,78
Jerusalem College of Engineering,Chennai,CSE,140000,76
Jerusalem College of Engineering,Chennai,ECE,130000,74
Apollo Engineering College,Chennai,CSE,130000,72
Apollo Engineering College,Chennai,ECE,120000,70
Adhiparasakthi Engineering College,Chennai,CSE,120000,70
Adhiparasakthi Engineering College,Chennai,ECE,110000,68
Tagore Engineering College,Chennai,CSE,130000,73
Tagore Engineering College,Chennai,ECE,120000,71






MNIT Jaipur,Jaipur,CSE,150000,95
MNIT Jaipur,Jaipur,ECE,140000,92
MNIT Jaipur,Jaipur,AI,150000,93
JECRC University,Jaipur,CSE,120000,70
JECRC University,Jaipur,ECE,110000,65
JECRC University,Jaipur,AI,130000,68
Poornima College,Jaipur,CSE,90000,75
Poornima College,Jaipur,ECE,85000,72
Poornima College,Jaipur,AI,95000,72
SKIT Jaipur,Jaipur,CSE,100000,80
SKIT Jaipur,Jaipur,ECE,90000,75
SKIT Jaipur,Jaipur,AI,95000,76
LNMIIT,Jaipur,CSE,350000,90
LNMIIT,Jaipur,ECE,330000,88
LNMIIT,Jaipur,AI,350000,89
Manipal University Jaipur,Jaipur,CSE,220000,80
Manipal University Jaipur,Jaipur,ECE,200000,78
Manipal University Jaipur,Jaipur,AI,250000,78
UEM Jaipur,Jaipur,CSE,180000,75
UEM Jaipur,Jaipur,AI,190000,73

IIT Hyderabad,Hyderabad,CSE,250000,99
IIT Hyderabad,Hyderabad,ECE,240000,97
IIT Hyderabad,Hyderabad,AI,250000,98
IIIT Hyderabad,Hyderabad,CSE,350000,97
IIIT Hyderabad,Hyderabad,AI,350000,96
Osmania University,Hyderabad,CSE,60000,85
Osmania University,Hyderabad,ECE,55000,82
JNTU Hyderabad,Hyderabad,CSE,70000,88
JNTU Hyderabad,Hyderabad,ECE,65000,85
CBIT Hyderabad,Hyderabad,CSE,150000,82
CBIT Hyderabad,Hyderabad,ECE,140000,80
CBIT Hyderabad,Hyderabad,AI,160000,80
VNR VJIET,Hyderabad,CSE,150000,85
VNR VJIET,Hyderabad,ECE,140000,83
MGIT Hyderabad,Hyderabad,CSE,140000,80
MGIT Hyderabad,Hyderabad,ECE,130000,78
Gokaraju Rangaraju Institute,Hyderabad,CSE,130000,78
Gokaraju Rangaraju Institute,Hyderabad,ECE,120000,76

IIT Delhi,Delhi,CSE,250000,99
IIT Delhi,Delhi,ECE,240000,98
IIT Delhi,Delhi,AI,250000,98
DTU,Delhi,CSE,200000,95
DTU,Delhi,ECE,180000,92
DTU,Delhi,AI,200000,94
NSUT,Delhi,CSE,190000,94
NSUT,Delhi,ECE,170000,91
NSUT,Delhi,AI,190000,93
IIIT Delhi,Delhi,CSE,300000,95
IIIT Delhi,Delhi,AI,310000,94
Delhi University,Delhi,CSE,50000,85
Delhi University,Delhi,ECE,60000,83
Delhi University,Delhi,IT,55000,82
Jamia Millia Islamia,Delhi,CSE,16000,92
Jamia Millia Islamia,Delhi,ECE,15000,90
Jamia Millia Islamia,Delhi,AI,20000,88
IGDTUW,Delhi,CSE,100000,90
IGDTUW,Delhi,ECE,90000,88
MAIT,Delhi,CSE,150000,85
MAIT,Delhi,ECE,140000,83
MSIT,Delhi,CSE,140000,84
MSIT,Delhi,ECE,130000,82
Bharati Vidyapeeth Delhi,Delhi,CSE,160000,80
Bharati Vidyapeeth Delhi,Delhi,ECE,150000,78